Date,Name,Year,Letterboxd URI
2025-01-20,Dead Poets Society,1989,https://boxd.it/2aSg
2025-01-20,Big,1988,https://boxd.it/271S
2025-01-20,Society of the Snow,2023,https://boxd.it/y9aw
2025-01-20,The Social Network,2010,https://boxd.it/17ue
2025-01-20,Another Round,2020,https://boxd.it/lkba
2025-01-20,Mr. Bean's Holiday,2007,https://boxd.it/28Yc
2025-01-20,Miles Davis: Birth of the Cool,2019,https://boxd.it/kLfm
2025-01-20,The Pursuit of Happyness,2006,https://boxd.it/28PE
2025-01-20,Operation Finale,2018,https://boxd.it/hN1g
2025-01-20,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-01-20,Hitch,2005,https://boxd.it/205o
2025-01-20,Along Came Polly,2004,https://boxd.it/22fU
2025-01-20,Project X,2012,https://boxd.it/neO
2025-01-20,I Called Him Morgan,2016,https://boxd.it/etXS
2025-01-20,Freedom Writers,2007,https://boxd.it/28p2
2025-01-20,La Bamba,1987,https://boxd.it/1JTc
2025-01-20,Seven Pounds,2008,https://boxd.it/1U8w
2025-01-20,Men in Black,1997,https://boxd.it/2a0I
2025-01-20,Quincy,2018,https://boxd.it/iexI
2025-01-20,The Karate Kid,1984,https://boxd.it/27Wk
2025-01-20,The Karate Kid Part II,1986,https://boxd.it/1ZJM
2025-01-20,50 First Dates,2004,https://boxd.it/285c
2025-01-20,Yesterday,2019,https://boxd.it/iF7M
2025-01-20,School of Rock,2003,https://boxd.it/28xK
2025-01-20,Spider-Man 2,2004,https://boxd.it/2a88
2025-01-20,The Butterfly Effect,2004,https://boxd.it/27M0
2025-01-20,Apollo 13,1995,https://boxd.it/2a6G
2025-01-20,El Potro: Unstoppable,2018,https://boxd.it/kaYE
2025-01-20,300,2006,https://boxd.it/28XI
2025-01-20,The Break-Up,2006,https://boxd.it/1XRk
2025-01-20,Road Trip,2000,https://boxd.it/1Z4a
2025-01-20,300: Rise of an Empire,2014,https://boxd.it/xaC
2025-01-20,Underdogs,2013,https://boxd.it/4Pck
2025-01-20,The Founder,2016,https://boxd.it/9XwM
2025-01-20,Cast Away,2000,https://boxd.it/20i8
2025-01-20,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2025-01-20,Iron Man,2008,https://boxd.it/28dA
2025-01-20,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-01-20,Se7en,1995,https://boxd.it/29zs
2025-01-21,The Godfather,1972,https://boxd.it/2aNK
2025-01-23,The Godfather Part II,1974,https://boxd.it/2aNq
2025-01-27,All Quiet on the Western Front,2022,https://boxd.it/H08
2025-01-31,Django Unchained,2012,https://boxd.it/2cCk
2025-02-01,Scent of a Woman,1992,https://boxd.it/1YAu
2025-02-02,Wild Tales,2014,https://boxd.it/7UmK
2025-02-03,Nine Queens,2000,https://boxd.it/1HBA
2025-02-06,The Green Mile,1999,https://boxd.it/2agG
2025-02-08,City of God,2002,https://boxd.it/2a2a
2025-02-20,Philadelphia,1993,https://boxd.it/1XMk
2025-02-21,Gladiator,2000,https://boxd.it/2b9m
2025-02-21,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2025-02-22,Chinese Take-Away,2011,https://boxd.it/2eGy
2025-02-23,Toy Story 3,2010,https://boxd.it/1WRe
2025-02-23,Toy Story,1995,https://boxd.it/29qA
2025-02-23,Cars,2006,https://boxd.it/29ho
2025-02-24,The Dark Knight Rises,2012,https://boxd.it/H3m
2025-02-24,A Beautiful Mind,2001,https://boxd.it/2amk
2025-02-27,GoodFellas,1990,https://boxd.it/29FA
2025-02-27,The Irishman,2019,https://boxd.it/dYOq
2025-02-28,The Imitation Game,2014,https://boxd.it/6aig
2025-03-01,The Terminal,2004,https://boxd.it/2a2O
2025-03-20,The Revenant,2015,https://boxd.it/8H5e
2025-03-26,Marriage Story,2019,https://boxd.it/hJAw
2025-03-27,The Secret in Their Eyes,2009,https://boxd.it/1vWw
2025-03-27,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-03-30,There Will Be Blood,2007,https://boxd.it/20Z2
