Date,Name,Year,Letterboxd URI,Rating
2025-02-20,Philadelphia,1993,https://boxd.it/1XMk,4
2025-02-21,Gladiator,2000,https://boxd.it/2b9m,4
2025-02-21,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,4
2025-02-22,Chinese Take-Away,2011,https://boxd.it/2eGy,3
2025-02-23,Toy Story 3,2010,https://boxd.it/1WRe,3.5
2025-02-23,Toy Story,1995,https://boxd.it/29qA,3
2025-02-23,Cars,2006,https://boxd.it/29ho,3.5
2025-02-24,Son of the Bride,2001,https://boxd.it/1F58,3
2025-02-24,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,2
2025-02-24,Quincy,2018,https://boxd.it/iexI,3.5
2025-02-24,Lucy,2014,https://boxd.it/75hu,2
2025-02-24,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2025-02-24,The Social Network,2010,https://boxd.it/17ue,4
2025-02-24,Whiplash,2014,https://boxd.it/7bQA,4.5
2025-02-24,A Beautiful Mind,2001,https://boxd.it/2amk,4.5
2025-02-27,GoodFellas,1990,https://boxd.it/29FA,4
2025-02-27,The Irishman,2019,https://boxd.it/dYOq,3.5
2025-02-28,The Imitation Game,2014,https://boxd.it/6aig,4
2025-02-28,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2025-02-28,The Godfather,1972,https://boxd.it/2aNK,5
2025-03-01,The Terminal,2004,https://boxd.it/2a2O,4.5
2025-03-02,Life Is Beautiful,1997,https://boxd.it/29Wm,3
2025-03-04,The Graduate,1967,https://boxd.it/18Im,2.5
2025-03-04,No Country for Old Men,2007,https://boxd.it/21ew,3
2025-03-13,Conclave,2024,https://boxd.it/AO8q,3
2025-03-17,The Matrix,1999,https://boxd.it/2a1m,3
2025-03-18,Zodiac,2007,https://boxd.it/27MO,2
2025-03-19,Black Swan,2010,https://boxd.it/Sw0,2
2025-03-20,The Revenant,2015,https://boxd.it/8H5e,3.5
2025-03-25,Maestro,2023,https://boxd.it/j0DE,3
2025-03-25,Parasite,2019,https://boxd.it/hTha,4.5
2025-03-26,Marriage Story,2019,https://boxd.it/hJAw,4
2025-03-26,Django Unchained,2012,https://boxd.it/2cCk,4
2025-03-27,The Secret in Their Eyes,2009,https://boxd.it/1vWw,4.5
2025-03-27,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
2025-03-30,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-03-30,There Will Be Blood,2007,https://boxd.it/20Z2,4
